Timestamp,DL_bitrate,UL_bitrate,Throughput,OT,date
2020.01.16_10.44.46,2867200,23152558.08,26019758.08,26019758.08,2020.01.16_10.44.46
2020.01.16_10.44.47,16609443.84,14931722.24,31541166.08,31541166.08,2020.01.16_10.44.47
2020.01.16_10.44.49,32967229.44,10066329.6,43033559.04,43033559.04,2020.01.16_10.44.49
2020.01.16_10.44.49,52932116.48,19209912.32,72142028.8,72142028.8,2020.01.16_10.44.49
2020.01.16_10.44.50,31625052.16,9227468.8,40852520.96,40852520.96,2020.01.16_10.44.50
2020.01.16_10.44.51,34812723.2,23655874.56,58468597.76,58468597.76,2020.01.16_10.44.51
2020.01.16_10.44.52,36658216.96,26508001.28,63166218.24,63166218.24,2020.01.16_10.44.52
2020.01.16_10.44.53,31960596.48,15854469.12,47815065.6,47815065.6,2020.01.16_10.44.53
2020.01.16_10.44.55,28772925.44,21139292.16,49912217.6,49912217.6,2020.01.16_10.44.55
2020.01.16_10.44.56,13841203.2,28353495.04,42194698.24,42194698.24,2020.01.16_10.44.56
2020.01.16_10.44.57,5799936,22984785.92,28784721.92,28784721.92,2020.01.16_10.44.57
2020.01.16_10.44.58,19293798.4,14847836.16,34141634.56,34141634.56,2020.01.16_10.44.58
2020.01.16_10.44.59,2924544,13254000.64,16178544.64,16178544.64,2020.01.16_10.44.59
2020.01.16_10.45.00,23571988.48,17616076.8,41188065.28,41188065.28,2020.01.16_10.45.00
2020.01.16_10.45.02,10821304.32,20300431.36,31121735.68,31121735.68,2020.01.16_10.45.02
2020.01.16_10.45.03,19042140.16,28689039.36,47731179.52,47731179.52,2020.01.16_10.45.03
2020.01.16_10.45.03,21558722.56,25081937.92,46640660.48,46640660.48,2020.01.16_10.45.03
2020.01.16_10.45.04,11492392.96,9563013.12,21055406.08,21055406.08,2020.01.16_10.45.04
2020.01.16_10.45.05,7217152,9982443.52,17199595.52,17199595.52,2020.01.16_10.45.05
2020.01.16_10.45.06,11240734.72,8282112,19522846.72,19522846.72,2020.01.16_10.45.06
2020.01.16_10.45.07,16190013.44,4743168,20933181.44,20933181.44,2020.01.16_10.45.07
2020.01.16_10.45.09,28101836.8,3055616,31157452.8,31157452.8,2020.01.16_10.45.09
2020.01.16_10.45.10,19797114.88,2170880,21967994.88,21967994.88,2020.01.16_10.45.10
2020.01.16_10.45.11,8808038.4,15015608.32,23823646.72,23823646.72,2020.01.16_10.45.11
2020.01.16_10.45.12,9059696.64,13002342.4,22062039.04,22062039.04,2020.01.16_10.45.12
2020.01.16_10.45.13,17699962.88,4423680,22123642.88,22123642.88,2020.01.16_10.45.13
2020.01.16_10.45.14,14763950.08,9395240.96,24159191.04,24159191.04,2020.01.16_10.45.14
2020.01.16_10.45.15,7397376,7536640,14934016,14934016,2020.01.16_10.45.15
2020.01.16_10.45.17,4317184,10737418.24,15054602.24,15054602.24,2020.01.16_10.45.17
2020.01.16_10.45.17,7897088,9814671.36,17711759.36,17711759.36,2020.01.16_10.45.17
2020.01.16_10.45.18,30870077.44,7880704,38750781.44,38750781.44,2020.01.16_10.45.18
2020.01.16_10.45.19,15183380.48,14847836.16,30031216.64,30031216.64,2020.01.16_10.45.19
2020.01.16_10.45.20,5341184,10150215.68,15491399.68,15491399.68,2020.01.16_10.45.20
2020.01.16_10.45.21,11408506.88,21307064.32,32715571.2,32715571.2,2020.01.16_10.45.21
2020.01.16_10.45.22,13505658.88,10485760,23991418.88,23991418.88,2020.01.16_10.45.22
2020.01.16_10.45.24,23152558.08,0,23152558.08,23152558.08,2020.01.16_10.45.24
2020.01.16_10.45.25,18622709.76,0,18622709.76,18622709.76,2020.01.16_10.45.25
2020.01.16_10.45.26,25081937.92,7749632,32831569.92,32831569.92,2020.01.16_10.45.26
2020.01.16_10.45.27,27346862.08,22062039.04,49408901.12,49408901.12,2020.01.16_10.45.27
2020.01.16_10.45.28,10485760,8011776,18497536,18497536,2020.01.16_10.45.28
2020.01.16_10.45.29,1777664,14512291.84,16289955.84,16289955.84,2020.01.16_10.45.29
2020.01.16_10.45.30,711884.8,22481469.44,23193354.24,23193354.24,2020.01.16_10.45.30
2020.01.16_10.45.31,2048000,14847836.16,16895836.16,16895836.16,2020.01.16_10.45.31
2020.01.16_10.45.32,19881000.96,18119393.28,38000394.24,38000394.24,2020.01.16_10.45.32
2020.01.16_10.45.33,5242880,19881000.96,25123880.96,25123880.96,2020.01.16_10.45.33
2020.01.16_10.45.34,5349376,29947330.56,35296706.56,35296706.56,2020.01.16_10.45.34
2020.01.16_10.45.35,15770583.04,7430144,23200727.04,23200727.04,2020.01.16_10.45.35
2020.01.16_10.45.37,2375680,15183380.48,17559060.48,17559060.48,2020.01.16_10.45.37
2020.01.16_10.45.38,19126026.24,14176747.52,33302773.76,33302773.76,2020.01.16_10.45.38
2020.01.16_10.45.39,5210112,15686696.96,20896808.96,20896808.96,2020.01.16_10.45.39
2020.01.16_10.45.40,7987200,15602810.88,23590010.88,23590010.88,2020.01.16_10.45.40
2020.01.16_10.45.41,4022272,21139292.16,25161564.16,25161564.16,2020.01.16_10.45.41
2020.01.16_10.45.44,1908736,11660165.12,13568901.12,13568901.12,2020.01.16_10.45.44
2020.01.16_10.45.44,15770583.04,8724152.32,24494735.36,24494735.36,2020.01.16_10.45.44
2020.01.16_10.45.45,3760128,6340608,10100736,10100736,2020.01.16_10.45.45
2020.01.16_10.45.46,10066329.6,15938355.2,26004684.8,26004684.8,2020.01.16_10.45.46
2020.01.16_10.45.47,20887633.92,5406720,26294353.92,26294353.92,2020.01.16_10.45.47
2020.01.16_10.45.48,13673431.04,11324620.8,24998051.84,24998051.84,2020.01.16_10.45.48
2020.01.16_10.45.49,3751936,14176747.52,17928683.52,17928683.52,2020.01.16_10.45.49
2020.01.16_10.45.51,8724152.32,22145925.12,30870077.44,30870077.44,2020.01.16_10.45.51
2020.01.16_10.45.52,13170114.56,16022241.28,29192355.84,29192355.84,2020.01.16_10.45.52
2020.01.16_10.45.53,14008975.36,20216545.28,34225520.64,34225520.64,2020.01.16_10.45.53
2020.01.16_10.45.54,10821304.32,5046272,15867576.32,15867576.32,2020.01.16_10.45.54
2020.01.16_10.45.55,23823646.72,2564096,26387742.72,26387742.72,2020.01.16_10.45.55
2020.01.16_10.45.57,1097728,4431872,5529600,5529600,2020.01.16_10.45.57
2020.01.16_10.45.58,5865472,12079595.52,17945067.52,17945067.52,2020.01.16_10.45.58
2020.01.16_10.45.58,17783848.96,0,17783848.96,17783848.96,2020.01.16_10.45.58
2020.01.16_10.45.59,16357785.6,26172456.96,42530242.56,42530242.56,2020.01.16_10.45.59
2020.01.16_10.46.00,33386659.84,15267266.56,48653926.4,48653926.4,2020.01.16_10.46.00
2020.01.16_10.46.01,10234101.76,14763950.08,24998051.84,24998051.84,2020.01.16_10.46.01
2020.01.16_10.46.02,12079595.52,21726494.72,33806090.24,33806090.24,2020.01.16_10.46.02
2020.01.16_10.46.04,17028874.24,22900899.84,39929774.08,39929774.08,2020.01.16_10.46.04
2020.01.16_10.46.05,22062039.04,13002342.4,35064381.44,35064381.44,2020.01.16_10.46.05
2020.01.16_10.46.06,28605153.28,16441671.68,45046824.96,45046824.96,2020.01.16_10.46.06
2020.01.16_10.46.07,11240734.72,24914165.76,36154900.48,36154900.48,2020.01.16_10.46.07
2020.01.16_10.46.08,26088570.88,21223178.24,47311749.12,47311749.12,2020.01.16_10.46.08
2020.01.16_10.46.09,10569646.08,17783848.96,28353495.04,28353495.04,2020.01.16_10.46.09
2020.01.16_10.46.11,17699962.88,12331253.76,30031216.64,30031216.64,2020.01.16_10.46.11
2020.01.16_10.46.12,16357785.6,16357785.6,32715571.2,32715571.2,2020.01.16_10.46.12
2020.01.16_10.46.12,10653532.16,7151616,17805148.16,17805148.16,2020.01.16_10.46.12
2020.01.16_10.46.13,22062039.04,16861102.08,38923141.12,38923141.12,2020.01.16_10.46.13
2020.01.16_10.46.14,22397583.36,6823936,29221519.36,29221519.36,2020.01.16_10.46.14
2020.01.16_10.46.15,19126026.24,13254000.64,32380026.88,32380026.88,2020.01.16_10.46.15
2020.01.16_10.46.16,10989076.48,9395240.96,20384317.44,20384317.44,2020.01.16_10.46.16
