Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.01.16_10.43.34,-8.394545,51.886113,0,B,11,5G,-99,-10,9,14,-107,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-16,0,0
2020.01.16_10.43.35,-8.394545,51.886113,0,B,11,5G,-100,-10,4,12,-107,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-18,0,0
2020.01.16_10.43.36,-8.394545,51.886113,0,B,11,5G,-100,-10,4,12,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-18,0,0
2020.01.16_10.43.37,-8.394545,51.886113,0,B,11,5G,-101,-9,2,10,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-7,0,0
2020.01.16_10.43.38,-8.394545,51.886113,0,B,11,5G,-101,-9,2,10,-105,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-7,0,0
2020.01.16_10.43.39,-8.394545,51.886113,0,B,11,5G,-100,-9,7,9,-105,2,2,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-16,4,4
2020.01.16_10.43.40,-8.394545,51.886113,0,B,11,5G,-100,-9,7,9,-105,2,2,D,72,67,81,5,0,B,A4DF,9CBA,10805003,-106,-16,4,4
2020.01.16_10.43.40,-8.394545,51.886113,0,B,11,5G,-100,-9,7,9,-105,1,1,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-16,2,2
2020.01.16_10.43.42,-8.394545,51.886113,0,B,11,5G,-99,-11,5,14,-105,14199,219,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-4,14418,14418
2020.01.16_10.43.43,-8.394545,51.886113,0,B,11,5G,-99,-11,5,14,-105,27292,84,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-4,27376,27376
2020.01.16_10.43.44,-8.394545,51.886113,0,B,11,5G,-100,-9,2,11,-105,133037,221,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10,133258,133258
2020.01.16_10.43.45,-8.394545,51.886113,0,B,11,5G,-100,-9,2,11,-105,168763,181,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10,168944,168944
2020.01.16_10.43.46,-8.394545,51.886113,0,B,11,5G,-101,-15,3,9,-105,160461,205,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9,160666,160666
