Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2019.12.16_13.40.04,-8.394624,51.886141,0,B,11,5G,-103,-15,1,15,-90,72,20,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-11,92,92
2019.12.16_13.40.05,-8.394624,51.886141,0,B,11,5G,-102,-16,7,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-20,0,0
2019.12.16_13.40.05,-8.394628,51.886144,0,B,11,5G,-102,-16,7,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-20,0,0
2019.12.16_13.40.06,-8.394628,51.886144,0,B,11,5G,-102,-16,7,15,-90,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-20,0,0
2019.12.16_13.40.07,-8.394628,51.886144,0,B,11,5G,-104,-14,-7,11,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14,0,0
2019.12.16_13.40.08,-8.394628,51.886144,0,B,11,5G,-104,-14,-7,11,-88,0,0,I,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-14,0,0
2019.12.16_13.40.09,-8.394628,51.886144,0,B,11,5G,-104,-14,-7,11,-88,0,0,D,90,72,128,23,0,B,A4DF,9CBA,10805003,-105,-14,0,0
2019.12.16_13.40.09,-8.394628,51.886144,0,B,11,5G,-102,-14,1,15,-91,3434,55,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12,3489,3489
2019.12.16_13.40.10,-8.394628,51.886144,0,B,11,5G,-102,-14,1,11,-88,27631,138,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-12,27769,27769
2019.12.16_13.40.11,-8.394628,51.886144,0,B,11,5G,-102,-16,-3,11,-88,31414,85,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-19,31499,31499
2019.12.16_13.40.12,-8.394628,51.886144,0,B,11,5G,-102,-16,-3,11,-88,29997,145,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-19,30142,30142
